NAME,Population,FIPS
"Bonneville County, Idaho",112397,16019
"Boundary County, Idaho",11549,16021
"Butte County, Idaho",2602,16023
"Canyon County, Idaho",212230,16027
"Caribou County, Idaho",6918,16029
"Cassia County, Idaho",23615,16031
"Clearwater County, Idaho",8640,16035
"Custer County, Idaho",4141,16037
"Elmore County, Idaho",26433,16039
"Franklin County, Idaho",13279,16041
"Fremont County, Idaho",12965,16043
"Gem County, Idaho",17052,16045
"Gooding County, Idaho",15169,16047
"Idaho County, Idaho",16337,16049
"Jefferson County, Idaho",27969,16051
"Jerome County, Idaho",23431,16053
"Kootenai County, Idaho",153605,16055
"Latah County, Idaho",39239,16057
"Lemhi County, Idaho",7798,16059
"Lewis County, Idaho",3845,16061
"Lincoln County, Idaho",5321,16063
"Madison County, Idaho",38705,16065
"Minidoka County, Idaho",20615,16067
"Nez Perce County, Idaho",40155,16069
"Oneida County, Idaho",4326,16071
"Owyhee County, Idaho",11455,16073
"Payette County, Idaho",23041,16075
"Power County, Idaho",7713,16077
"Shoshone County, Idaho",12526,16079
"Teton County, Idaho",11080,16081
"Twin Falls County, Idaho",83666,16083
"Valley County, Idaho",10401,16085
"Washington County, Idaho",10025,16087
"Adams County, Illinois",66427,17001
"Alexander County, Illinois",6532,17003
"Bond County, Illinois",16712,17005
"Boone County, Illinois",53606,17007
"Brown County, Illinois",6675,17009
"Bureau County, Illinois",33381,17011
"Calhoun County, Illinois",4858,17013
"Carroll County, Illinois",14562,17015
"Cass County, Illinois",12665,17017
"Champaign County, Illinois",209448,17019
"Christian County, Illinois",33231,17021
"Clark County, Illinois",15836,17023
"Clay County, Illinois",13338,17025
"Clinton County, Illinois",37628,17027
"Coles County, Illinois",51736,17029
"Cook County, Illinois",5223719,17031
"Crawford County, Illinois",19088,17033
"Cumberland County, Illinois",10865,17035
"DeKalb County, Illinois",104200,17037
"De Witt County, Illinois",16042,17039
"Douglas County, Illinois",19714,17041
"DuPage County, Illinois",931743,17043
"Edgar County, Illinois",17539,17045
"Edwards County, Illinois",6507,17047
"Effingham County, Illinois",34174,17049
"Fayette County, Illinois",21724,17051
"Ford County, Illinois",13398,17053
"Franklin County, Illinois",39127,17055
"Fulton County, Illinois",35418,17057
"Gallatin County, Illinois",5157,17059
"Greene County, Illinois",13218,17061
"Grundy County, Illinois",50509,17063
"Hamilton County, Illinois",8221,17065
"Hancock County, Illinois",18112,17067
"Hardin County, Illinois",4009,17069
"Henderson County, Illinois",6884,17071
"Henry County, Illinois",49464,17073
"Iroquois County, Illinois",28169,17075
"Jackson County, Illinois",58551,17077
